Freq.	V(1|1|1|b)	I(R129)
6.25225225225225e+005	5.16507135900375e-001,4.51194299331082e-001	9.66985728199249e-003,-9.02388598662163e-003
6.35135135135135e+005	5.24855629742327e-001,4.51432322944611e-001	9.50288740515346e-003,-9.02864645889222e-003
6.45045045045045e+005	5.33126191337391e-001,4.51515597535057e-001	9.33747617325219e-003,-9.03031195070115e-003
6.54954954954955e+005	5.41316883561699e-001,4.51448517014577e-001	9.17366232876602e-003,-9.02897034029154e-003
6.64864864864865e+005	5.49425949792770e-001,4.51235416989734e-001	9.01148100414459e-003,-9.02470833979467e-003
6.74774774774775e+005	5.57451806245381e-001,4.50880569820497e-001	8.85096387509239e-003,-9.01761139640994e-003
6.84684684684685e+005	5.65393034386620e-001,4.50388180184271e-001	8.69213931226760e-003,-9.00776360368541e-003
6.94594594594594e+005	5.73248373451886e-001,4.49762381118259e-001	8.53503253096229e-003,-8.99524762236519e-003
7.04504504504504e+005	5.81016713081019e-001,4.49007230513573e-001	8.37966573837962e-003,-8.98014461027145e-003
7.14414414414414e+005	5.88697086091358e-001,4.48126708034679e-001	8.22605827817285e-003,-8.96253416069359e-003
7.24324324324324e+005	5.96288661402203e-001,4.47124712438202e-001	8.07422677195593e-003,-8.94249424876404e-003
7.34234234234234e+005	6.03790737123102e-001,4.46005059265506e-001	7.92418525753795e-003,-8.92010118531013e-003
7.44144144144144e+005	6.11202733816348e-001,4.44771478884117e-001	7.77594532367304e-003,-8.89542957768233e-003
7.54054054054054e+005	6.18524187942314e-001,4.43427614853629e-001	7.62951624115372e-003,-8.86855229707258e-003
7.63963963963964e+005	6.25754745494534e-001,4.41977022592517e-001	7.48490509010933e-003,-8.83954045185034e-003
7.73873873873874e+005	6.32894155829907e-001,4.40423168322974e-001	7.34211688340185e-003,-8.80846336645947e-003
7.83783783783784e+005	6.39942265698004e-001,4.38769428271745e-001	7.20115468603991e-003,-8.77538856543490e-003
7.93693693693694e+005	6.46899013472154e-001,4.37019088105725e-001	7.06201973055692e-003,-8.74038176211450e-003
8.03603603603604e+005	6.53764423583850e-001,4.35175342581933e-001	6.92471152832300e-003,-8.70350685163865e-003
8.13513513513514e+005	6.60538601160940e-001,4.33241295392335e-001	6.78922797678119e-003,-8.66482590784669e-003
8.23423423423424e+005	6.67221726869146e-001,4.31219959184821e-001	6.65556546261709e-003,-8.62439918369642e-003
8.33333333333334e+005	6.73814051955596e-001,4.29114255742487e-001	6.52371896088808e-003,-8.58228511484973e-003
8.43243243243244e+005	6.80315893492333e-001,4.26927016304185e-001	6.39368213015334e-003,-8.53854032608369e-003
8.53153153153153e+005	6.86727629817054e-001,4.24660982010123e-001	6.26544740365891e-003,-8.49321964020246e-003
8.63063063063063e+005	6.93049696167823e-001,4.22318804457052e-001	6.13900607664353e-003,-8.44637608914104e-003
8.72972972972973e+005	6.99282580507910e-001,4.19903046348322e-001	6.01434838984179e-003,-8.39806092696645e-003
8.82882882882883e+005	7.05426819536546e-001,4.17416182224816e-001	5.89146360926908e-003,-8.34832364449631e-003
8.92792792792793e+005	7.11482994880952e-001,4.14860599263405e-001	5.77034010238095e-003,-8.29721198526810e-003
