Freq.	V(1|1|1|b)	I(R129)
6.64864864864865e+005	5.51067696892181e-001,4.83953340566932e-001	8.97864606215637e-003,-9.67906681133864e-003
6.74774774774775e+005	5.59642109362093e-001,4.83150715557085e-001	8.80715781275815e-003,-9.66301431114171e-003
6.84684684684685e+005	5.68111394558235e-001,4.82206902278128e-001	8.63777210883529e-003,-9.64413804556255e-003
6.94594594594594e+005	5.76474729762269e-001,4.81126732641248e-001	8.47050540475462e-003,-9.62253465282496e-003
7.04504504504504e+005	5.84731453722440e-001,4.79914925385181e-001	8.30537092555119e-003,-9.59829850770362e-003
7.14414414414414e+005	5.92881057432478e-001,4.78576084029453e-001	8.14237885135044e-003,-9.57152168058907e-003
7.24324324324324e+005	6.00923175203949e-001,4.77114695276002e-001	7.98153649592102e-003,-9.54229390552003e-003
7.34234234234234e+005	6.08857576039824e-001,4.75535127823448e-001	7.82284847920352e-003,-9.51070255646895e-003
7.44144144144144e+005	6.16684155314706e-001,4.73841631559774e-001	7.66631689370588e-003,-9.47683263119548e-003
7.54054054054054e+005	6.24402926765112e-001,4.72038337100627e-001	7.51194146469776e-003,-9.44076674201253e-003
7.63963963963964e+005	6.32014014791346e-001,4.70129255641985e-001	7.35971970417308e-003,-9.40258511283969e-003
7.73873873873874e+005	6.39517647070850e-001,4.68118279097476e-001	7.20964705858299e-003,-9.36236558194953e-003
7.83783783783784e+005	6.46914147481462e-001,4.66009180492117e-001	7.06171705037076e-003,-9.32018360984234e-003
7.93693693693694e+005	6.54203929331714e-001,4.63805614585763e-001	6.91592141336571e-003,-9.27611229171526e-003
8.03603603603604e+005	6.61387488894203e-001,4.61511118701048e-001	6.77225022211595e-003,-9.23022237402096e-003
8.13513513513514e+005	6.68465399237068e-001,4.59129113732002e-001	6.63069201525864e-003,-9.18258227464005e-003
8.23423423423424e+005	6.75438304347807e-001,4.56662905310951e-001	6.49123391304385e-003,-9.13325810621901e-003
8.33333333333334e+005	6.82306913542940e-001,4.54115685112628e-001	6.35386172914120e-003,-9.08231370225257e-003
8.43243243243244e+005	6.89071996156444e-001,4.51490532275746e-001	6.21856007687111e-003,-9.02981064551492e-003
8.53153153153153e+005	6.95734376499426e-001,4.48790414923458e-001	6.08531247001148e-003,-8.97580829846916e-003
8.63063063063063e+005	7.02294929083079e-001,4.46018191765350e-001	5.95410141833842e-003,-8.92036383530701e-003
8.72972972972973e+005	7.08754574096710e-001,4.43176613764672e-001	5.82490851806580e-003,-8.86353227529345e-003
8.82882882882883e+005	7.15114273132382e-001,4.40268325855550e-001	5.69771453735237e-003,-8.80536651711099e-003
8.92792792792793e+005	7.21375025147575e-001,4.37295868695887e-001	5.57249949704849e-003,-8.74591737391775e-003
9.02702702702703e+005	7.27537862657192e-001,4.34261680442550e-001	5.44924274685616e-003,-8.68523360885099e-003
9.12612612612613e+005	7.33603848146184e-001,4.31168098536214e-001	5.32792303707631e-003,-8.62336197072429e-003
9.22522522522523e+005	7.39574070694119e-001,4.28017361484040e-001	5.20851858611763e-003,-8.56034722968081e-003
9.32432432432433e+005	7.45449642803038e-001,4.24811610628942e-001	5.09100714393923e-003,-8.49623221257884e-003
9.42342342342343e+005	7.51231697420095e-001,4.21552891894851e-001	4.97536605159809e-003,-8.43105783789703e-003
9.52252252252253e+005	7.56921385146535e-001,4.18243157497850e-001	4.86157229706931e-003,-8.36486314995701e-003
9.62162162162163e+005	7.62519871624793e-001,4.14884267613474e-001	4.74960256750414e-003,-8.29768535226949e-003
9.72072072072073e+005	7.68028335095635e-001,4.11477991990839e-001	4.63943329808731e-003,-8.22955983981679e-003
9.81981981981983e+005	7.73447964117462e-001,4.08026011504488e-001	4.53104071765076e-003,-8.16052023008975e-003
9.91891891891893e+005	7.78779955440135e-001,4.04529919635017e-001	4.42440089119731e-003,-8.09059839270033e-003
1.00180180180180e+006	7.84025512025886e-001,4.00991223869630e-001	4.31948975948229e-003,-8.01982447739260e-003
1.01171171171171e+006	7.89185841210132e-001,3.97411347013718e-001	4.21628317579737e-003,-7.94822694027437e-003
1.02162162162162e+006	7.94262152995238e-001,3.93791628404449e-001	4.11475694009524e-003,-7.87583256808898e-003
1.03153153153153e+006	7.99255658470550e-001,3.90133325017095e-001	4.01488683058900e-003,-7.80266650034190e-003
1.04144144144144e+006	8.04167568352243e-001,3.86437612454472e-001	3.91664863295515e-003,-7.72875224908944e-003
1.05135135135135e+006	8.08999091636804e-001,3.82705585809343e-001	3.82001816726393e-003,-7.65411171618686e-003
1.06126126126126e+006	8.13751434362226e-001,3.78938260389007e-001	3.72497131275549e-003,-7.57876520778013e-003
1.07117117117117e+006	8.18425798471218e-001,3.75136572290461e-001	3.63148403057563e-003,-7.50273144580923e-003
1.08108108108108e+006	8.23023380771013e-001,3.71301378813549e-001	3.53953238457974e-003,-7.42602757627098e-003
1.09099099099099e+006	8.27545371984572e-001,3.67433458698251e-001	3.44909256030856e-003,-7.34866917396502e-003
1.10090090090090e+006	8.31992955888250e-001,3.63533512170869e-001	3.36014088223499e-003,-7.27067024341738e-003
1.11081081081081e+006	8.36367308531179e-001,3.59602160782093e-001	3.27265382937641e-003,-7.19204321564187e-003
1.12072072072072e+006	8.40669597531874e-001,3.55639947017900e-001	3.18660804936251e-003,-7.11279894035800e-003
1.13063063063063e+006	8.44900981447756e-001,3.51647333661807e-001	3.10198037104488e-003,-7.03294667323613e-003
1.14054054054054e+006	8.49062609213477e-001,3.47624702884149e-001	3.01874781573046e-003,-6.95249405768298e-003
1.15045045045045e+006	8.53155619644114e-001,3.43572355030677e-001	2.93688760711772e-003,-6.87144710061354e-003
1.16036036036036e+006	8.57181140999428e-001,3.39490507078775e-001	2.85637718001144e-003,-6.78981014157551e-003
1.17027027027027e+006	8.61140290605530e-001,3.35379290724921e-001	2.77719418788940e-003,-6.70758581449842e-003
1.18018018018018e+006	8.65034174530366e-001,3.31238750061414e-001	2.69931650939267e-003,-6.62477500122828e-003
