Freq.	V(1|1|1|a)	I(R129)
6.05405405405405e+005	2.14271529246249e-001,3.45264571517780e-001	1.57145694150750e-002,-6.90529143035560e-003
6.15315315315315e+005	2.19040112937863e-001,3.49340237857043e-001	1.56191977412427e-002,-6.98680475714087e-003
6.25225225225225e+005	2.23859752965188e-001,3.53346403226817e-001	1.55228049406962e-002,-7.06692806453634e-003
6.35135135135135e+005	2.28729367862332e-001,3.57282475945044e-001	1.54254126427534e-002,-7.14564951890089e-003
6.45045045045045e+005	2.33647872402548e-001,3.61147883744753e-001	1.53270425519490e-002,-7.22295767489506e-003
6.54954954954955e+005	2.38614178058995e-001,3.64942073682886e-001	1.52277164388201e-002,-7.29884147365771e-003
6.64864864864865e+005	2.43627193461552e-001,3.68664512036430e-001	1.51274561307690e-002,-7.37329024072860e-003
6.74774774774775e+005	2.48685824849462e-001,3.72314684185963e-001	1.50262835030108e-002,-7.44629368371926e-003
6.84684684684685e+005	2.53788976519575e-001,3.75892094486736e-001	1.49242204696085e-002,-7.51784188973471e-003
6.94594594594594e+005	2.58935551269985e-001,3.79396266127412e-001	1.48212889746003e-002,-7.58792532254824e-003
7.04504504504504e+005	2.64124450838885e-001,3.82826740976580e-001	1.47175109832223e-002,-7.65653481953160e-003
7.14414414414414e+005	2.69354576338454e-001,3.86183079417143e-001	1.46129084732309e-002,-7.72366158834286e-003
7.24324324324324e+005	2.74624828683620e-001,3.89464860168701e-001	1.45075034263276e-002,-7.78929720337401e-003
7.34234234234234e+005	2.79934109015553e-001,3.92671680098017e-001	1.44013178196889e-002,-7.85343360196033e-003
7.44144144144144e+005	2.85281319119774e-001,3.95803154017664e-001	1.42943736176045e-002,-7.91606308035328e-003
7.54054054054054e+005	2.90665361838755e-001,3.98858914472929e-001	1.41866927632249e-002,-7.97717828945859e-003
7.63963963963964e+005	2.96085141478937e-001,4.01838611517046e-001	1.40782971704213e-002,-8.03677223034093e-003
7.73873873873874e+005	3.01539564212073e-001,4.04741912474814e-001	1.39692087157585e-002,-8.09483824949629e-003
7.83783783783784e+005	3.07027538470871e-001,4.07568501694641e-001	1.38594492305826e-002,-8.15137003389282e-003
7.93693693693694e+005	3.12547975338880e-001,4.10318080289036e-001	1.37490404932224e-002,-8.20636160578071e-003
8.03603603603604e+005	3.18099788934627e-001,4.12990365863553e-001	1.36380042213075e-002,-8.25980731727106e-003
8.13513513513514e+005	3.23681896790006e-001,4.15585092234170e-001	1.35263620641999e-002,-8.31170184468340e-003
8.23423423423424e+005	3.29293220222960e-001,4.18102009133052e-001	1.34141355955408e-002,-8.36204018266104e-003
8.33333333333334e+005	3.34932684704523e-001,4.20540881902630e-001	1.33013463059095e-002,-8.41081763805260e-003
8.43243243243244e+005	3.40599220220291e-001,4.22901491177892e-001	1.31880155955942e-002,-8.45802982355784e-003
8.53153153153153e+005	3.46291761626464e-001,4.25183632556738e-001	1.30741647674707e-002,-8.50367265113476e-003
8.63063063063063e+005	3.52009249000579e-001,4.27387116258223e-001	1.29598150199884e-002,-8.54774232516445e-003
8.72972972972973e+005	3.57750627987123e-001,4.29511766768460e-001	1.28449874402575e-002,-8.59023533536919e-003
8.82882882882883e+005	3.63514850138248e-001,4.31557422473906e-001	1.27297029972350e-002,-8.63114844947812e-003
8.92792792792793e+005	3.69300873249808e-001,4.33523935281699e-001	1.26139825350039e-002,-8.67047870563397e-003
9.02702702702703e+005	3.75107661693036e-001,4.35411170226645e-001	1.24978467661393e-002,-8.70822340453289e-003
9.12612612612613e+005	3.80934186742179e-001,4.37219005064396e-001	1.23813162651564e-002,-8.74438010128792e-003
9.22522522522523e+005	3.86779426898458e-001,4.38947329850268e-001	1.22644114620308e-002,-8.77894659700536e-003
9.32432432432433e+005	3.92642368210810e-001,4.40596046503059e-001	1.21471526357838e-002,-8.81192093006117e-003
9.42342342342343e+005	3.98522004593868e-001,4.42165068353144e-001	1.20295599081226e-002,-8.84330136706287e-003
9.52252252252253e+005	4.04417338143746e-001,4.43654319673985e-001	1.19116532371251e-002,-8.87308639347971e-003
9.62162162162163e+005	4.10327379452236e-001,4.45063735196095e-001	1.17934524109553e-002,-8.90127470392190e-003
9.72072072072073e+005	4.16251147920098e-001,4.46393259602313e-001	1.16749770415980e-002,-8.92786519204625e-003
9.81981981981983e+005	4.22187672070238e-001,4.47642847003139e-001	1.15562465585952e-002,-8.95285694006278e-003
9.91891891891893e+005	4.28135989861613e-001,4.48812460390637e-001	1.14372802027677e-002,-8.97624920781273e-003
1.00180180180180e+006	4.34095149004842e-001,4.49902071069234e-001	1.13180970199032e-002,-8.99804142138468e-003
1.01171171171171e+006	4.40064207280609e-001,4.50911658061508e-001	1.11987158543878e-002,-9.01823316123017e-003
1.02162162162162e+006	4.46042232862063e-001,4.51841207486760e-001	1.10791553427587e-002,-9.03682414973520e-003
1.03153153153153e+006	4.52028304642565e-001,4.52690711909874e-001	1.09594339071487e-002,-9.05381423819748e-003
1.04144144144144e+006	4.58021512570312e-001,4.53460169657603e-001	1.08395697485938e-002,-9.06920339315207e-003
1.05135135135135e+006	4.64020957991529e-001,4.54149584099000e-001	1.07195808401694e-002,-9.08299168198001e-003
1.06126126126126e+006	4.70025754004144e-001,4.54758962886239e-001	1.05994849199171e-002,-9.09517925772477e-003
1.07117117117117e+006	4.76035025824081e-001,4.55288317151524e-001	1.04792994835184e-002,-9.10576634303047e-003
1.08108108108108e+006	4.82047911166601e-001,4.55737660655142e-001	1.03590417766680e-002,-9.11475321310284e-003
1.09099099099099e+006	4.88063560645373e-001,4.56107008878965e-001	1.02387287870925e-002,-9.12214017757929e-003
1.10090090090090e+006	4.94081138192376e-001,4.56396378058842e-001	1.01183772361525e-002,-9.12792756117683e-003
1.11081081081081e+006	5.00099821502047e-001,4.56605784148318e-001	9.99800356995905e-003,-9.13211568296635e-003
1.12072072072072e+006	5.06118802503621e-001,4.56735241704903e-001	9.87762394992758e-003,-9.13470483409806e-003
1.13063063063063e+006	5.12137287866052e-001,4.56784762688729e-001	9.75725424267897e-003,-9.13569525377458e-003
1.14054054054054e+006	5.18154499540563e-001,4.56754355161764e-001	9.63691000918873e-003,-9.13508710323529e-003
1.15045045045045e+006	5.24169675346517e-001,4.56644021873798e-001	9.51660649306965e-003,-9.13288043747596e-003
1.16036036036036e+006	5.30182069607084e-001,4.56453758719062e-001	9.39635860785832e-003,-9.12907517438124e-003
1.17027027027027e+006	5.36190953842113e-001,4.56183553044578e-001	9.27618092315774e-003,-9.12367106089157e-003
1.18018018018018e+006	5.42195617526628e-001,4.55833381787963e-001	9.15608764946744e-003,-9.11666763575925e-003
1.19009009009009e+006	5.48195368924582e-001,4.55403209418410e-001	9.03609262150836e-003,-9.10806418836819e-003
1.20000000000000e+006	5.54189536008886e-001,4.54892985649719e-001	8.91620927982228e-003,-9.09785971299438e-003
1.20990990990991e+006	5.60177467480322e-001,4.54302642888330e-001	8.79645065039357e-003,-9.08605285776659e-003
1.21981981981982e+006	5.66158533899796e-001,4.53632093372167e-001	8.67682932200409e-003,-9.07264186744334e-003
1.22972972972973e+006	5.72132128950490e-001,4.52881225947311e-001	8.55735742099021e-003,-9.05762451894621e-003
1.23963963963964e+006	5.78097670848907e-001,4.52049902418713e-001	8.43804658302186e-003,-9.04099804837427e-003
1.24954954954955e+006	5.84054603926575e-001,4.51137953397853e-001	8.31890792146849e-003,-9.02275906795706e-003
1.25945945945946e+006	5.90002400407325e-001,4.50145173553655e-001	8.19995199185350e-003,-9.00290347107310e-003
1.26936936936937e+006	5.95940562408606e-001,4.49071316152333e-001	8.08118875182788e-003,-8.98142632304665e-003
1.27927927927928e+006	6.01868624199269e-001,4.47916086745855e-001	7.96262751601462e-003,-8.95832173491711e-003
1.28918918918919e+006	6.07786154750547e-001,4.46679135835976e-001	7.84427690498907e-003,-8.93358271671952e-003
1.29909909909910e+006	6.13692760621567e-001,4.45360050299111e-001	7.72614478756866e-003,-8.90720100598222e-003
1.30900900900901e+006	6.19588089225384e-001,4.43958343304143e-001	7.60823821549232e-003,-8.87916686608286e-003
1.31891891891892e+006	6.25471832525834e-001,4.42473442386676e-001	7.49056334948332e-003,-8.84946884773351e-003
1.32882882882883e+006	6.31343731218887e-001,4.40904675254458e-001	7.37312537562225e-003,-8.81809350508916e-003
1.33873873873874e+006	6.37203579453337e-001,4.39251252782692e-001	7.25592841093326e-003,-8.78502505565384e-003
1.34864864864865e+006	6.43051230142804e-001,4.37512248505289e-001	7.13897539714392e-003,-8.75024497010578e-003
1.35855855855856e+006	6.48886600910901e-001,4.35686573705607e-001	7.02226798178199e-003,-8.71373147411214e-003
1.36846846846847e+006	6.54709680688671e-001,4.33772946939200e-001	6.90580638622658e-003,-8.67545893878400e-003
