DevNumber	X [V]	Y [V]	R [V]	Theta [°]
4253.00000000	-0.00156945978181	-0.000752679625194	0.00174061214086	-154.378611735
4253.00000000	-0.00156944091401	-0.000752678814289	0.00174059477767	-154.378367235
4253.00000000	-0.00156941798226	-0.000752672892610	0.00174057154013	-154.378216574
4253.00000000	-0.00156939673947	-0.000752668794233	0.00174055061393	-154.378035833
4253.00000000	-0.00156938149466	-0.000752671081403	0.00174053785726	-154.377750937
4253.00000000	-0.00156937437603	-0.000752681549528	0.00174053596548	-154.377338893
4253.00000000	-0.00156937162847	-0.000752700099020	0.00174054150979	-154.376749209
4253.00000000	-0.00156936706353	-0.000752721900108	0.00174054682183	-154.376037147
4253.00000000	-0.00156936122574	-0.000752739332978	0.00174054909734	-154.375436620
4253.00000000	-0.00156935991103	-0.000752750286355	0.00174055264900	-154.375092801
4253.00000000	-0.00156936492201	-0.000752757292068	0.00174056019695	-154.374956207
4253.00000000	-0.00156937387599	-0.000752757279467	0.00174056826480	-154.375084052
4253.00000000	-0.00156938359875	-0.000752744447751	0.00174057148191	-154.375603315
4253.00000000	-0.00156938844724	-0.000752721073055	0.00174056574486	-154.376366108
4253.00000000	-0.00156938410815	-0.000752702158785	0.00174055365294	-154.376865728
4253.00000000	-0.00156937667262	-0.000752703851970	0.00174054768086	-154.376709624
4253.00000000	-0.00156937668676	-0.000752724798861	0.00174055675224	-154.376088105
4253.00000000	-0.00156938570624	-0.000752748363132	0.00174057507542	-154.375517108
4253.00000000	-0.00156939803762	-0.000752761169296	0.00174059173228	-154.375312569
4253.00000000	-0.00156941105456	-0.000752759697672	0.00174060283253	-154.375541554
4253.00000000	-0.00156942762898	-0.000752743833376	0.00174061091612	-154.376248348
4253.00000000	-0.00156944884670	-0.000752716822835	0.00174061836649	-154.377352050
4253.00000000	-0.00156946643896	-0.000752688330260	0.00174062190769	-154.378448125
4253.00000000	-0.00156946880010	-0.000752665557609	0.00174061418933	-154.379157632
4253.00000000	-0.00156945745086	-0.000752648411295	0.00174059654173	-154.379505003
4253.00000000	-0.00156944549822	-0.000752634877250	0.00174057991208	-154.379736576
4253.00000000	-0.00156944264899	-0.000752622246891	0.00174057188159	-154.380070906
4253.00000000	-0.00156944982627	-0.000752609467309	0.00174057282740	-154.380552380
4253.00000000	-0.00156946264677	-0.000752597651355	0.00174057927841	-154.381085572
4253.00000000	-0.00156947769608	-0.000752588041303	0.00174058869305	-154.381585008
4253.00000000	-0.00156949439264	-0.000752581418322	0.00174060088467	-154.382019222
4253.00000000	-0.00156951214153	-0.000752575183308	0.00174061419302	-154.382456892
4253.00000000	-0.00156952947929	-0.000752565010372	0.00174062542817	-154.383005586
4253.00000000	-0.00156954464986	-0.000752551380831	0.00174063321487	-154.383626027
4253.00000000	-0.00156955406086	-0.000752537242370	0.00174063558826	-154.384179603
4253.00000000	-0.00156955387160	-0.000752523328022	0.00174062940199	-154.384589908
4253.00000000	-0.00156954463575	-0.000752513087490	0.00174061664661	-154.384762430
4253.00000000	-0.00156953382945	-0.000752510016548	0.00174060557473	-154.384699798
4253.00000000	-0.00156953219325	-0.000752508543167	0.00174060346236	-154.384720246
4253.00000000	-0.00156954395869	-0.000752500807381	0.00174061072712	-154.385117291
4253.00000000	-0.00156956011091	-0.000752486618351	0.00174061915782	-154.385768304
4253.00000000	-0.00156956461088	-0.000752469852683	0.00174061596768	-154.386329980
4253.00000000	-0.00156954803633	-0.000752454009804	0.00174059417304	-154.386564377
4253.00000000	-0.00156951578431	-0.000752444342794	0.00174056091137	-154.386392367
4253.00000000	-0.00156948295439	-0.000752446994545	0.00174053245409	-154.385846462
4253.00000000	-0.00156946288412	-0.000752461248433	0.00174052051841	-154.385137732
4253.00000000	-0.00156945761409	-0.000752479878869	0.00174052382073	-154.384509717
4253.00000000	-0.00156946294511	-0.000752495960620	0.00174053558045	-154.384108229
4253.00000000	-0.00156947526023	-0.000752503749139	0.00174055005241	-154.384052310
4253.00000000	-0.00156949145306	-0.000752498758370	0.00174056249603	-154.384430899
4253.00000000	-0.00156951223778	-0.000752481378699	0.00174057372433	-154.385242565
4253.00000000	-0.00156953845063	-0.000752459580951	0.00174058793773	-154.386262605
4253.00000000	-0.00156956331172	-0.000752443281845	0.00174060330974	-154.387100179
4253.00000000	-0.00156957867154	-0.000752434520524	0.00174061337287	-154.387578801
4253.00000000	-0.00156958350538	-0.000752427578084	0.00174061473067	-154.387853653
4253.00000000	-0.00156958164702	-0.000752418095929	0.00174060895601	-154.388108665
4253.00000000	-0.00156957777913	-0.000752407676301	0.00174060096406	-154.388362913
4253.00000000	-0.00156957592880	-0.000752398943686	0.00174059552072	-154.388595795
4253.00000000	-0.00156957676261	-0.000752391089672	0.00174059287760	-154.388840791
4253.00000000	-0.00156957828573	-0.000752382046279	0.00174059034198	-154.389130900
4253.00000000	-0.00156957827314	-0.000752370248503	0.00174058523099	-154.389480920
4253.00000000	-0.00156957731428	-0.000752355937945	0.00174057818062	-154.389892065
4253.00000000	-0.00156957601520	-0.000752342321587	0.00174057112361	-154.390277767
4253.00000000	-0.00156957260502	-0.000752329320671	0.00174056242898	-154.390615166
4253.00000000	-0.00156956755410	-0.000752311972037	0.00174055037564	-154.391058283
4253.00000000	-0.00156956402923	-0.000752287815432	0.00174053675603	-154.391725212
4253.00000000	-0.00156956424527	-0.000752262228446	0.00174052589190	-154.392487837
4253.00000000	-0.00156956611755	-0.000752242186357	0.00174051891811	-154.393109432
4253.00000000	-0.00156956892730	-0.000752227399430	0.00174051506113	-154.393588366
4253.00000000	-0.00156957699259	-0.000752213291110	0.00174051623693	-154.394121927
4253.00000000	-0.00156959590239	-0.000752196376340	0.00174052597952	-154.394893077
4253.00000000	-0.00156962464135	-0.000752171982268	0.00174054135419	-154.396026076
4253.00000000	-0.00156965312058	-0.000752137384498	0.00174055208601	-154.397458267
4253.00000000	-0.00156967196648	-0.000752096171631	0.00174055127294	-154.398949793
4253.00000000	-0.00156968061158	-0.000752055939402	0.00174054168533	-154.400267119
4253.00000000	-0.00156968617881	-0.000752022020019	0.00174053205042	-154.401353272
4253.00000000	-0.00156969594106	-0.000751992661493	0.00174052816993	-154.402363699
4253.00000000	-0.00156971261678	-0.000751961656758	0.00174052981374	-154.403521326
4253.00000000	-0.00156973621871	-0.000751927446490	0.00174053631997	-154.404872615
4253.00000000	-0.00156976732812	-0.000751894870869	0.00174055030415	-154.406282123
4253.00000000	-0.00156980692074	-0.000751866075715	0.00174057357334	-154.407699998
4253.00000000	-0.00156985177133	-0.000751837134907	0.00174060152286	-154.409196919
4253.00000000	-0.00156989180580	-0.000751804390754	0.00174062348711	-154.410738234
4253.00000000	-0.00156991577885	-0.000751768606460	0.00174062965341	-154.412141430
4253.00000000	-0.00156992017936	-0.000751733159244	0.00174061831321	-154.413256367
4253.00000000	-0.00156991278703	-0.000751701331071	0.00174059790016	-154.414096229
4253.00000000	-0.00156990395627	-0.000751676539735	0.00174057922896	-154.414706738
4253.00000000	-0.00156989636565	-0.000751662022170	0.00174056611321	-154.415029860
4253.00000000	-0.00156989061120	-0.000751658410400	0.00174055936327	-154.415055291
4253.00000000	-0.00156988841614	-0.000751665179606	0.00174056030673	-154.414823108
4253.00000000	-0.00156988815973	-0.000751678231615	0.00174056571204	-154.414431947
4253.00000000	-0.00156988927919	-0.000751687090655	0.00174057054760	-154.414184837
4253.00000000	-0.00156989556682	-0.000751683361634	0.00174057460825	-154.414384935
4253.00000000	-0.00156990517438	-0.000751669142407	0.00174057713308	-154.414943680
4253.00000000	-0.00156991136104	-0.000751654843208	0.00174057653806	-154.415456170
4253.00000000	-0.00156991653365	-0.000751650964718	0.00174057952860	-154.415644852
