DevNumber	X [V]	Y [V]	R [V]	Theta [°]
4253.00000000	0.000192076241333	0.00317720401156	0.00318300465183	86.5404235169
4253.00000000	0.000192067752928	0.00317723295099	0.00318303302631	86.5406074675
4253.00000000	0.000192055516022	0.00317728224201	0.00318308148916	86.5408808689
4253.00000000	0.000192041223570	0.00317733959314	0.00318313787350	86.5411999468
4253.00000000	0.000192034410616	0.00317739372141	0.00318319149216	86.5413811322
4253.00000000	0.000192038031993	0.00317743749756	0.00318323540704	86.5413636033
4253.00000000	0.000192042351830	0.00317746555831	0.00318326367729	86.5413164615
4253.00000000	0.000192041860547	0.00317747658069	0.00318327464996	86.5413372568
4253.00000000	0.000192039042029	0.00317747745277	0.00318327535041	86.5413888418
4253.00000000	0.000192038205953	0.00317747515908	0.00318327301046	86.5414013724
4253.00000000	0.000192040818390	0.00317746611280	0.00318326413826	86.5413446139
4253.00000000	0.000192042969921	0.00317743874556	0.00318323695066	86.5412762415
4253.00000000	0.000192038567638	0.00317738818330	0.00318318621491	86.5413004305
4253.00000000	0.000192030966050	0.00317732923349	0.00318312691388	86.5413729942
4253.00000000	0.000192031110857	0.00317728368647	0.00318308145856	86.5413209327
4253.00000000	0.000192042296349	0.00317726045682	0.00318305894605	86.5410947322
4253.00000000	0.000192062976149	0.00317725785260	0.00318305759432	86.5407203410
4253.00000000	0.000192086475156	0.00317727060012	0.00318307173659	86.5403119712
4253.00000000	0.000192103132465	0.00317728956491	0.00318309167207	86.5400332856
4253.00000000	0.000192107529251	0.00317730612107	0.00318310846340	86.5399722732
4253.00000000	0.000192102352355	0.00317731613097	0.00318311814263	86.5400761610
4253.00000000	0.000192095208633	0.00317731874288	0.00318312031865	86.5402073500
4253.00000000	0.000192096264949	0.00317731932067	0.00318312095914	86.5401889988
4253.00000000	0.000192111143948	0.00317732395000	0.00318312647799	86.5399266959
4253.00000000	0.000192133783968	0.00317733109581	0.00318313497724	86.5395276858
4253.00000000	0.000192155400882	0.00317733889049	0.00318314406258	86.5391477650
4253.00000000	0.000192168095790	0.00317735219907	0.00318315811326	86.5389341384
4253.00000000	0.000192168394617	0.00317737053237	0.00318317643115	86.5389486911
4253.00000000	0.000192163052033	0.00317738177014	0.00318318732590	86.5390568909
4253.00000000	0.000192162324784	0.00317737708180	0.00318318260221	86.5390648628
4253.00000000	0.000192167042832	0.00317736427934	0.00318317010792	86.5389661836
4253.00000000	0.000192173915324	0.00317735711011	0.00318316336667	86.5388349165
4253.00000000	0.000192177917283	0.00317736100679	0.00318316749785	86.5387672486
4253.00000000	0.000192176515291	0.00317737326442	0.00318317964847	86.5388057580
4253.00000000	0.000192169927664	0.00317738399687	0.00318318996365	86.5389357783
4253.00000000	0.000192158827577	0.00317737976596	0.00318318507036	86.5391306126
4253.00000000	0.000192147735550	0.00317735400380	0.00318315868561	86.5393019085
4253.00000000	0.000192148211345	0.00317731203839	0.00318311682544	86.5392477626
