DevNumber	X [V]	Y [V]	R [V]	Theta [°]
4253.00000000	-0.000844039532305	-0.00544589729036	0.00551091644186	-98.8099670759
4253.00000000	-0.000844035963613	-0.00544591327670	0.00551093169302	-98.8099049551
4253.00000000	-0.000844016059145	-0.00544592906828	0.00551094424984	-98.8096753100
4253.00000000	-0.000843987086965	-0.00544592742778	0.00551093819160	-98.8093802595
4253.00000000	-0.000843966377967	-0.00544590606876	0.00551091391304	-98.8092015012
4253.00000000	-0.000843961923856	-0.00544587374697	0.00551088129039	-98.8092072022
4253.00000000	-0.000843967903337	-0.00544584093314	0.00551084977938	-98.8093208841
4253.00000000	-0.000843977322068	-0.00544581144582	0.00551082208238	-98.8094646065
4253.00000000	-0.000843982782027	-0.00544578136669	0.00551079319429	-98.8095685988
4253.00000000	-0.000843977237388	-0.00544575004716	0.00551076139507	-98.8095615017
4253.00000000	-0.000843966879596	-0.00544571900355	0.00551072913138	-98.8095045124
4253.00000000	-0.000843962295108	-0.00544569119301	0.00551070094681	-98.8095016924
4253.00000000	-0.000843962654667	-0.00544566598160	0.00551067608789	-98.8095455317
4253.00000000	-0.000843967842919	-0.00544563861287	0.00551064983663	-98.8096424196
4253.00000000	-0.000843984773416	-0.00544561121585	0.00551062535580	-98.8098600011
4253.00000000	-0.000844012427185	-0.00544559744358	0.00551061598143	-98.8101660658
4253.00000000	-0.000844037767508	-0.00544560898548	0.00551063126835	-98.8104080485
4253.00000000	-0.000844052248803	-0.00544563781381	0.00551066197456	-98.8105109285
4253.00000000	-0.000844062575638	-0.00544566652407	0.00551069192778	-98.8105713104
4253.00000000	-0.000844079122302	-0.00544568638999	0.00551071409373	-98.8107096820
4253.00000000	-0.000844099476849	-0.00544569693398	0.00551072763105	-98.8109020220
4253.00000000	-0.000844119549420	-0.00544570346089	0.00551073715556	-98.8110978616
4253.00000000	-0.000844140385174	-0.00544571243154	0.00551074921194	-98.8112976497
