DevNumber	X [V]	Y [V]	R [V]	Theta [°]
4253.00000000	-0.0129360365849	-0.00324366860244	0.0133365073587	-165.923496996
4253.00000000	-0.0129361263048	-0.00324367032279	0.0133365948029	-165.923583575
4253.00000000	-0.0129361632769	-0.00324366040795	0.0133366282534	-165.923663523
4253.00000000	-0.0129361350949	-0.00324364344348	0.0133365967916	-165.923704769
4253.00000000	-0.0129360592628	-0.00324361666898	0.0133365167246	-165.923737107
4253.00000000	-0.0129359641981	-0.00324358007524	0.0133364156144	-165.923790267
4253.00000000	-0.0129358775268	-0.00324353718643	0.0133363211145	-165.923878432
4253.00000000	-0.0129358076693	-0.00324350023017	0.0133362443664	-165.923959444
4253.00000000	-0.0129357533817	-0.00324348545011	0.0133361881142	-165.923964312
4253.00000000	-0.0129357186841	-0.00324350058775	0.0133361581401	-165.923864974
4253.00000000	-0.0129356976577	-0.00324353912087	0.0133361471168	-165.923682425
4253.00000000	-0.0129356779653	-0.00324358116200	0.0133361382408	-165.923486652
4253.00000000	-0.0129356503042	-0.00324360541186	0.0133361173083	-165.923356692
4253.00000000	-0.0129356171709	-0.00324360032792	0.0133360839334	-165.923343256
4253.00000000	-0.0129355865150	-0.00324357067305	0.0133360469854	-165.923434802
4253.00000000	-0.0129355669691	-0.00324353321391	0.0133360189158	-165.923570482
4253.00000000	-0.0129355721057	-0.00324350453480	0.0133360169229	-165.923695364
4253.00000000	-0.0129356079479	-0.00324349220938	0.0133360486912	-165.923784180
4253.00000000	-0.0129356600168	-0.00324349203563	0.0133360991544	-165.923839311
4253.00000000	-0.0129357009081	-0.00324349749433	0.0133361401455	-165.923859291
4253.00000000	-0.0129356988388	-0.00324350450470	0.0133361398433	-165.923827915
4253.00000000	-0.0129356394771	-0.00324350822732	0.0133360831694	-165.923750374
4253.00000000	-0.0129355364172	-0.00324350331566	0.0133359820095	-165.923663153
4253.00000000	-0.0129354189464	-0.00324348860746	0.0133358644889	-165.923601697
4253.00000000	-0.0129353225449	-0.00324346947663	0.0133357663292	-165.923580688
4253.00000000	-0.0129352680303	-0.00324345952712	0.0133357110317	-165.923565186
4253.00000000	-0.0129352646984	-0.00324346377260	0.0133357088324	-165.923544012
4253.00000000	-0.0129353270051	-0.00324347361218	0.0133357716613	-165.923568114
4253.00000000	-0.0129354624186	-0.00324348726337	0.0133359063288	-165.923652724
4253.00000000	-0.0129356358912	-0.00324351046809	0.0133360802362	-165.923737289
4253.00000000	-0.0129357749529	-0.00324353133551	0.0133362201975	-165.923795635
4253.00000000	-0.0129358355771	-0.00324353470029	0.0133362798197	-165.923844960
4253.00000000	-0.0129358218939	-0.00324352103991	0.0133362632250	-165.923887588
4253.00000000	-0.0129357706849	-0.00324350220946	0.0133362089739	-165.923912551
4253.00000000	-0.0129357239272	-0.00324349305438	0.0133361613935	-165.923901846
4253.00000000	-0.0129356985369	-0.00324349959229	0.0133361383557	-165.923848070
4253.00000000	-0.0129356820933	-0.00324351738503	0.0133361267332	-165.923756741
4253.00000000	-0.0129356531870	-0.00324353915427	0.0133361039895	-165.923635818
4253.00000000	-0.0129355973956	-0.00324355775039	0.0133360543963	-165.923500024
4253.00000000	-0.0129355281979	-0.00324357003782	0.0133359902650	-165.923376511
4253.00000000	-0.0129354833024	-0.00324357709585	0.0133359484344	-165.923300185
4253.00000000	-0.0129354996294	-0.00324357749993	0.0133359643694	-165.923315562
4253.00000000	-0.0129356045070	-0.00324357510915	0.0133360655161	-165.923435116
4253.00000000	-0.0129357870857	-0.00324357293478	0.0133362420835	-165.923634959
4253.00000000	-0.0129359785224	-0.00324357120472	0.0133364273511	-165.923842200
4253.00000000	-0.0129361107852	-0.00324357106296	0.0133365556081	-165.923980988
4253.00000000	-0.0129361652764	-0.00324357380448	0.0133366091299	-165.924026499
4253.00000000	-0.0129361516797	-0.00324358088938	0.0133365976646	-165.923982769
4253.00000000	-0.0129360894692	-0.00324359145911	0.0133365398926	-165.923873722
4253.00000000	-0.0129360079345	-0.00324359953609	0.0133364627706	-165.923754870
4253.00000000	-0.0129359355442	-0.00324360100409	0.0133363929110	-165.923673113
4253.00000000	-0.0129358781837	-0.00324359723951	0.0133363363573	-165.923628864
4253.00000000	-0.0129358223186	-0.00324358695131	0.0133362796675	-165.923613364
4253.00000000	-0.0129357614326	-0.00324356933204	0.0133362163245	-165.923623167
4253.00000000	-0.0129357000499	-0.00324355358170	0.0133361529542	-165.923624663
4253.00000000	-0.0129356409087	-0.00324354705216	0.0133360940008	-165.923590075
4253.00000000	-0.0129355919078	-0.00324354952739	0.0133360470733	-165.923528558
4253.00000000	-0.0129355623383	-0.00324356314352	0.0133360217034	-165.923440917
4253.00000000	-0.0129355479393	-0.00324358948101	0.0133360141426	-165.923316114
4253.00000000	-0.0129355394874	-0.00324362219021	0.0133360139000	-165.923170973
4253.00000000	-0.0129355350876	-0.00324365054510	0.0133360165289	-165.923048212
4253.00000000	-0.0129355479268	-0.00324367093845	0.0133360339428	-165.922976644
4253.00000000	-0.0129355967221	-0.00324368539588	0.0133360847892	-165.922967385
4253.00000000	-0.0129356789789	-0.00324368888555	0.0133361654246	-165.923038799
4253.00000000	-0.0129357647822	-0.00324367936496	0.0133362463356	-165.923168134
4253.00000000	-0.0129358311286	-0.00324366449014	0.0133363070718	-165.923299448
4253.00000000	-0.0129358908127	-0.00324365327988	0.0133363622371	-165.923408529
4253.00000000	-0.0129359774143	-0.00324364753671	0.0133364448413	-165.923522953
4253.00000000	-0.0129360957846	-0.00324364008456	0.0133365578447	-165.923677691
