DevNumber	X [V]	Y [V]	R [V]	Theta [°]
4253.00000000	-0.110953876345	-0.0923404306578	0.144352062022	-140.231364779
4253.00000000	-0.110953311358	-0.0923402718438	0.144351526163	-140.231269778
4253.00000000	-0.110952426399	-0.0923399847129	0.144350662280	-140.231132681
4253.00000000	-0.110951559994	-0.0923397061595	0.144349818146	-140.230997676
4253.00000000	-0.110951053679	-0.0923395034662	0.144349299316	-140.230930957
4253.00000000	-0.110951010040	-0.0923393542098	0.144349170295	-140.230965413
4253.00000000	-0.110951208560	-0.0923391993295	0.144349223807	-140.231063071
4253.00000000	-0.110951352996	-0.0923390398723	0.144349232821	-140.231148393
4253.00000000	-0.110951394794	-0.0923389638144	0.144349216295	-140.231182211
4253.00000000	-0.110951617274	-0.0923391203031	0.144349487405	-140.231190958
4253.00000000	-0.110952309796	-0.0923395809027	0.144350314341	-140.231226271
4253.00000000	-0.110953215584	-0.0923400929017	0.144351338080	-140.231300053
4253.00000000	-0.110953692175	-0.0923403016858	0.144351837961	-140.231357364
4253.00000000	-0.110953336185	-0.0923400860417	0.144351426390	-140.231332767
4253.00000000	-0.110952260724	-0.0923395426777	0.144350252171	-140.231225474
4253.00000000	-0.110950964106	-0.0923389216440	0.144348858279	-140.231085721
4253.00000000	-0.110949987284	-0.0923385158145	0.144347847857	-140.230961509
4253.00000000	-0.110949552902	-0.0923384695887	0.144347484409	-140.230865316
4253.00000000	-0.110949562803	-0.0923387121965	0.144347647214	-140.230793813
4253.00000000	-0.110949704164	-0.0923390217628	0.144347953897	-140.230735261
4253.00000000	-0.110949722262	-0.0923392442136	0.144348110109	-140.230671989
4253.00000000	-0.110949631921	-0.0923394103646	0.144348146957	-140.230598359
4253.00000000	-0.110949552373	-0.0923395751934	0.144348191255	-140.230527873
4253.00000000	-0.110949596706	-0.0923397427970	0.144348332547	-140.230487996
4253.00000000	-0.110949804478	-0.0923398765799	0.144348577826	-140.230499937
4253.00000000	-0.110950010925	-0.0923399002885	0.144348751673	-140.230545124
4253.00000000	-0.110950121128	-0.0923397940485	0.144348768416	-140.230605518
4253.00000000	-0.110950321937	-0.0923396816591	0.144348850868	-140.230690795
4253.00000000	-0.110950848522	-0.0923397476834	0.144349297851	-140.230804358
4253.00000000	-0.110951821262	-0.0923400777403	0.144350256662	-140.230950650
