DevNumber	X [V]	Y [V]	R [V]	Theta [°]
4253.00000000	-0.000397239432652	-0.00215911246125	0.00219535094852	-100.424852138
4253.00000000	-0.000397219146475	-0.00215910312263	0.00219533809343	-100.424375533
4253.00000000	-0.000397194770701	-0.00215909319357	0.00219532391787	-100.423796738
4253.00000000	-0.000397181617364	-0.00215908687031	0.00219531531920	-100.423488972
4253.00000000	-0.000397182947216	-0.00215908881169	0.00219531746915	-100.423513940
4253.00000000	-0.000397191614300	-0.00215909713462	0.00219532722281	-100.423697109
4253.00000000	-0.000397198096964	-0.00215910355485	0.00219533470997	-100.423833191
4253.00000000	-0.000397197381601	-0.00215910376129	0.00219533478357	-100.423813854
4253.00000000	-0.000397193893846	-0.00215910332708	0.00219533372550	-100.423726380
4253.00000000	-0.000397194139102	-0.00215910824872	0.00219533861029	-100.423709436
4253.00000000	-0.000397196103372	-0.00215912111115	0.00219535161584	-100.423699119
4253.00000000	-0.000397195740514	-0.00215914236997	0.00219537245817	-100.423589424
4253.00000000	-0.000397193288019	-0.00215916277139	0.00219539207920	-100.423430143
4253.00000000	-0.000397190075337	-0.00215917017110	0.00219539877556	-100.423312742
4253.00000000	-0.000397183348250	-0.00215916754351	0.00219539497428	-100.423152481
4253.00000000	-0.000397172710471	-0.00215916463976	0.00219539019392	-100.422893146
4253.00000000	-0.000397163982046	-0.00215916564518	0.00219538960368	-100.422664361
4253.00000000	-0.000397160672912	-0.00215917020636	0.00219539349096	-100.422557889
4253.00000000	-0.000397162606358	-0.00215917889303	0.00219540238407	-100.422566503
4253.00000000	-0.000397170136709	-0.00215918992093	0.00219541459231	-100.422707721
4253.00000000	-0.000397184633483	-0.00215919420849	0.00219542143177	-100.423059570
4253.00000000	-0.000397205668687	-0.00215918251732	0.00219541373921	-100.423654687
4253.00000000	-0.000397227165948	-0.00215915812441	0.00219539363842	-100.424321646
4253.00000000	-0.000397241074485	-0.00215913162015	0.00219537008826	-100.424803804
4253.00000000	-0.000397247095987	-0.00215910910539	0.00219534903472	-100.425064688
4253.00000000	-0.000397255742547	-0.00215909603871	0.00219533774835	-100.425348336
4253.00000000	-0.000397269057236	-0.00215909898328	0.00219534305370	-100.425676190
4253.00000000	-0.000397274665932	-0.00215911747090	0.00219536225106	-100.425732839
4253.00000000	-0.000397267346737	-0.00215914129431	0.00219538435668	-100.425432462
4253.00000000	-0.000397256142738	-0.00215916320865	0.00219540388187	-100.425041394
4253.00000000	-0.000397250636481	-0.00215918293510	0.00219542228636	-100.424806909
4253.00000000	-0.000397255145139	-0.00215920219186	0.00219544204107	-100.424831697
4253.00000000	-0.000397270653469	-0.00215922122678	0.00219546356797	-100.425139856
4253.00000000	-0.000397288531519	-0.00215923649190	0.00219548181619	-100.425526633
4253.00000000	-0.000397295547061	-0.00215924394227	0.00219549041308	-100.425671512
4253.00000000	-0.000397288384851	-0.00215925003570	0.00219549510985	-100.425458909
4253.00000000	-0.000397276168472	-0.00215926359333	0.00219550623308	-100.425081339
4253.00000000	-0.000397267415215	-0.00215928089432	0.00219552166461	-100.424774981
4253.00000000	-0.000397263447976	-0.00215929088505	0.00219553077259	-100.424625982
4253.00000000	-0.000397260140389	-0.00215928696708	0.00219552632081	-100.424559591
4253.00000000	-0.000397249382345	-0.00215927665208	0.00219551422951	-100.424332182
4253.00000000	-0.000397230307518	-0.00215927248533	0.00219550668027	-100.423862280
4253.00000000	-0.000397210474605	-0.00215927505527	0.00219550561955	-100.423341111
4253.00000000	-0.000397197518231	-0.00215927709170	0.00219550527834	-100.422998956
4253.00000000	-0.000397189373106	-0.00215927299468	0.00219549977537	-100.422809244
4253.00000000	-0.000397180508998	-0.00215925828604	0.00219548370583	-100.422651176
4253.00000000	-0.000397173193691	-0.00215923046906	0.00219545502443	-100.422594746
4253.00000000	-0.000397171835290	-0.00215918862656	0.00219541362659	-100.422757430
4253.00000000	-0.000397173666910	-0.00215914582638	0.00219537186400	-100.423006523
4253.00000000	-0.000397173898397	-0.00215911854765	0.00219534507729	-100.423141265
4253.00000000	-0.000397170973156	-0.00215911263198	0.00219533873001	-100.423094112
4253.00000000	-0.000397165990667	-0.00215912377317	0.00219534878596	-100.422913616
4253.00000000	-0.000397160671839	-0.00215914120246	0.00219536496542	-100.422694800
4253.00000000	-0.000397157160065	-0.00215915449022	0.00219537739863	-100.422541924
4253.00000000	-0.000397157267453	-0.00215915589749	0.00219537880211	-100.422538036
4253.00000000	-0.000397159624060	-0.00215914345900	0.00219536699518	-100.422657252
4253.00000000	-0.000397158531846	-0.00215912474192	0.00219534838934	-100.422717589
4253.00000000	-0.000397149793941	-0.00215911083459	0.00219533313072	-100.422558966
4253.00000000	-0.000397137068418	-0.00215910898133	0.00219532900595	-100.422241073
4253.00000000	-0.000397128351481	-0.00215911821832	0.00219533651367	-100.421973714
4253.00000000	-0.000397126326502	-0.00215913354641	0.00219535122257	-100.421849370
