% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV3854
% Time: 2022/12/07 16:28:31
% Demod 1 Sample R, /dev3854/demods/0/sample.R
% Demod 1 Sample Phase, /dev3854/demods/0/sample.Theta
% Frequency (Hz), Demod 1 Sample R  Amplitude (V), Demod 1 Sample Phase  Phase (deg)
1000000, 0.0127848452602, 117.75571375
1008016.032084168, 0.0125618409082, 117.330997659
1016032.064168337, 0.0123395751807, 116.938072539
1024048.096252505, 0.0121175909763, 116.509704923
1032064.128336673, 0.0118946601803, 116.121482566
1040080.160420842, 0.0116679778845, 115.711442752
1048096.19250501, 0.0114511350079, 115.311269808
1056112.224589178, 0.0112236939052, 114.915053595
1064128.256673347, 0.0109935184336, 114.511673616
1072144.288757515, 0.0107729939116, 114.119402135
1080160.320841683, 0.010545939186, 113.736690801
1088176.352925852, 0.0103175873902, 113.325641562
1096192.38501002, 0.0100864201101, 112.95717377
1104208.417094188, 0.00985720538146, 112.564513296
1112224.449178357, 0.00962704557201, 112.191457167
1120240.481262525, 0.00939720240836, 111.808850271
1128256.513346693, 0.0091689160206, 111.427277861
1136272.545430862, 0.0089319921566, 111.082459408
1144288.57751503, 0.00869997442432, 110.712210889
1152304.609599198, 0.00846028377678, 110.336205508
1160320.641683367, 0.0082263857904, 109.981538451
1168336.673767535, 0.00799189965818, 109.627613378
1176352.705851703, 0.00775053001816, 109.305023811
1184368.737935872, 0.00751177828164, 108.979383289
1192384.77002004, 0.00727184647364, 108.666145952
1200400.802104208, 0.0070271611538, 108.355484844
1208416.834188377, 0.00678274868165, 108.052677664
1216432.866272545, 0.00653494251032, 107.760980152
1224448.898356713, 0.00628792651376, 107.495021586
1232464.930440882, 0.00603879560802, 107.246899209
1240480.96252505, 0.0057856340019, 107.020541388
1248496.994609218, 0.00553024396982, 106.816416457
1256513.026693387, 0.00527401928171, 106.652704763
1264529.058777555, 0.00501875031591, 106.491215312
1272545.090861723, 0.00475913402532, 106.412316798
1280561.122945892, 0.00449127685402, 106.389013437
1288577.15503006, 0.00422232400023, 106.43701889
1296593.187114228, 0.00395585095046, 106.507788352
1304609.219198397, 0.00368047915626, 106.758705844
1312625.251282565, 0.0034019423091, 107.159908865
