% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV3854
% Time: 2022/12/07 15:56:12
% Demod 1 Sample R, /dev3854/demods/0/sample.R
% Demod 1 Sample Phase, /dev3854/demods/0/sample.Theta
% Frequency (Hz), Demod 1 Sample R  Amplitude (V), Demod 1 Sample Phase  Phase (deg)
1000000, 0.0242359032397, 143.53307423
1008016.032084168, 0.0241053747587, 143.178546523
1016032.064168337, 0.0239797246872, 142.84256949
1024048.096252505, 0.0238571994474, 142.505294726
1032064.128336673, 0.0237326310438, 142.158664919
1040080.160420842, 0.0236097037265, 141.823166504
1048096.19250501, 0.0234845933545, 141.475522735
1056112.224589178, 0.0233556677427, 141.137524381
1064128.256673347, 0.0232247306422, 140.796777587
1072144.288757515, 0.0230998641988, 140.450640774
1080160.320841683, 0.0229678870338, 140.09906837
1088176.352925852, 0.0228331296081, 139.765141388
1096192.38501002, 0.0226999653533, 139.415398641
1104208.417094188, 0.0225668347823, 139.07335351
1112224.449178357, 0.02243029437, 138.72522583
1120240.481262525, 0.0222931995962, 138.373601832
1128256.513346693, 0.0221551273368, 138.01968899
1136272.545430862, 0.022012004253, 137.66178255
1144288.57751503, 0.0218687570969, 137.311640997
1152304.609599198, 0.0217234151832, 136.958152329
1160320.641683367, 0.0215787367397, 136.602039022
1168336.673767535, 0.0214352143262, 136.2494636
1176352.705851703, 0.0212818352308, 135.895183451
1184368.737935872, 0.0211360660387, 135.526356536
1192384.77002004, 0.0209863617748, 135.162195714
1200400.802104208, 0.0208307819927, 134.806496924
1208416.834188377, 0.0206799605095, 134.439258963
1216432.866272545, 0.0205165297843, 134.072189155
1224448.898356713, 0.0203627848228, 133.706635179
1232464.930440882, 0.020198234672, 133.334623
1240480.96252505, 0.0200361245736, 132.968453818
1248496.994609218, 0.0198766582533, 132.592008978
1256513.026693387, 0.0197059316508, 132.223219934
1264529.058777555, 0.0195392978232, 131.85670347
1272545.090861723, 0.0193680567468, 131.472292437
1280561.122945892, 0.0191950785477, 131.08790274
1288577.15503006, 0.0190183673241, 130.70988518
1296593.187114228, 0.0188368175778, 130.320504032
1304609.219198397, 0.0186540700887, 129.931594215
1312625.251282565, 0.0184652273469, 129.559884955
1320641.283366733, 0.0182793648061, 129.167273322
1328657.315450902, 0.0180753621327, 128.776844147
1336673.34753507, 0.0178740775035, 128.380255412
1344689.379619238, 0.0176672837089, 127.988730262
1352705.411703407, 0.0174546280618, 127.613000928
1360721.443787575, 0.0172219584323, 127.222705666
1368737.475871743, 0.0169824360639, 126.871588379
1376753.507955912, 0.0167324433251, 126.565733555
1384769.54004008, 0.0164746748908, 126.319739865
1392785.572124248, 0.0162239031537, 126.083671472
1400801.604208417, 0.0159453124752, 125.842978242
1408817.636292585, 0.0156186419342, 125.72994606
1416833.668376754, 0.0152552932534, 125.979960037
1424849.700460922, 0.0149357940074, 126.822205721
1432865.73254509, 0.014810574208, 128.14863057
1440881.764629259, 0.0149440652184, 129.26134025
1448897.796713427, 0.0152187342212, 129.414342959
1456913.828797595, 0.0153739775192, 128.768984289
1464929.860881764, 0.0154271335342, 128.01923768
1472945.892965932, 0.015446960859, 127.095533977
1480961.9250501, 0.0153743348671, 125.967964683
1488977.957134268, 0.0152017356935, 124.952353666
1496993.989218437, 0.0150066889687, 124.090347495
1505010.021302605, 0.0147978541999, 123.319698686
1513026.053386773, 0.0145794233857, 122.59362532
1521042.085470942, 0.0143460651192, 121.926950898
1529058.11755511, 0.0141017055723, 121.292560793
1537074.149639279, 0.0138571457273, 120.726309642
1545090.181723447, 0.0136138881328, 120.184383252
1553106.213807615, 0.0133664151069, 119.652823284
1561122.245891783, 0.013119806779, 119.17570226
1569138.277975952, 0.0128716523734, 118.683827671
1577154.31006012, 0.01262543487, 118.22126671
1585170.342144289, 0.0123746210847, 117.763776877
1593186.374228457, 0.0121187500171, 117.336712057
1601202.406312625, 0.0118589063305, 116.892024402
1609218.438396794, 0.011600093218, 116.485348422
1617234.470480962, 0.0113324040326, 116.080266775
1625250.50256513, 0.0110583204975, 115.677242247
1633266.534649299, 0.0107747208887, 115.322399695
1641282.566733467, 0.0104831565236, 114.975553378
1649298.598817635, 0.010185067014, 114.702831754
1657314.630901804, 0.00986937088575, 114.527579599
1665330.662985972, 0.00954877585055, 114.548147961
1673346.69507014, 0.0092346965403, 114.816074696
1681362.727154308, 0.00896496676931, 115.29437019
1689378.759238477, 0.00873943410028, 115.734080658
1697394.791322645, 0.00850962876293, 115.961360746
1705410.823406814, 0.00826107953428, 116.173778018
1713426.855490982, 0.00796875190178, 116.427925766
1721442.88757515, 0.00764700776654, 117.299719078
1729458.919659319, 0.00737806753195, 118.935534571
1737474.951743487, 0.00720054060389, 120.92200762
1745490.983827655, 0.00710703441097, 123.090297151
1753507.015911824, 0.00712552749466, 125.430718993
1761523.047995992, 0.00734569730409, 127.092831732
1769539.08008016, 0.00766780981282, 126.321492064
1777555.112164329, 0.00773239951547, 123.621240144
1785571.144248497, 0.00752044566044, 121.291581744
1793587.176332665, 0.00721042533298, 120.334024546
1801603.208416834, 0.00698816096907, 120.423272292
1809619.240501002, 0.00689384089786, 120.234968751
1817635.27258517, 0.00679773606158, 118.858242074
1825651.304669339, 0.00658524200308, 117.027587184
1833667.336753507, 0.00628609417815, 115.376744079
1841683.368837675, 0.00595368542079, 114.059053565
1849699.400921843, 0.00559448351017, 113.069618242
1857715.433006012, 0.00524143126391, 112.503017574
1865731.46509018, 0.00489127877598, 112.138317957
1873747.497174349, 0.00454181698413, 111.879466692
1881763.529258517, 0.00418749180633, 111.834796507
1889779.561342685, 0.00382712802826, 112.169197768
1897795.593426854, 0.00346572969068, 112.80286007
1905811.625511022, 0.00309853837846, 113.858980296
1913827.65759519, 0.00272124782608, 115.725602979
1921843.689679359, 0.00234029696131, 119.073674048
1929859.721763527, 0.00197863390866, 124.724461653
1937875.753847695, 0.00165898236633, 134.403102143
