% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV3854
% Time: 2022/12/07 15:39:34
% Demod 1 Sample R, /dev3854/demods/0/sample.R
% Demod 1 Sample Phase, /dev3854/demods/0/sample.Theta
% Frequency (Hz), Demod 1 Sample R  Amplitude (V), Demod 1 Sample Phase  Phase (deg)
1000000, 0.0128373098806, 117.88955743
1008016.032084168, 0.0126117341774, 117.457692918
1016032.064168337, 0.012382132447, 117.041731403
1024048.096252505, 0.0121499260975, 116.637156594
1032064.128336673, 0.011920343464, 116.212912144
1040080.160420842, 0.011691193394, 115.798705559
1048096.19250501, 0.0114525311639, 115.379275336
1056112.224589178, 0.0112244282796, 114.972544439
1064128.256673347, 0.0109904962185, 114.572897238
1072144.288757515, 0.0107541233258, 114.169000814
1080160.320841683, 0.0105168074494, 113.778378806
1088176.352925852, 0.0102784536358, 113.385118088
1096192.38501002, 0.0100366464134, 112.965351088
1104208.417094188, 0.00979668917943, 112.582917491
1112224.449178357, 0.00955267560281, 112.190506886
1120240.481262525, 0.00931006969897, 111.801213906
1128256.513346693, 0.00906154277337, 111.435914796
1136272.545430862, 0.00881303862212, 111.058894813
1144288.57751503, 0.00856197638278, 110.677056332
1152304.609599198, 0.0083046829682, 110.343166093
1160320.641683367, 0.00805538016494, 109.984234794
1168336.673767535, 0.00779480085731, 109.62968353
1176352.705851703, 0.00753062119764, 109.308627632
1184368.737935872, 0.00726845654027, 109.00910565
1192384.77002004, 0.00699927036242, 108.700101315
1200400.802104208, 0.00673003715258, 108.4257302
1208416.834188377, 0.00645833421484, 108.194120494
1216432.866272545, 0.00617615110258, 107.952406463
1224448.898356713, 0.00589156070423, 107.770523434
1232464.930440882, 0.0056048463711, 107.655748224
1240480.96252505, 0.0053152067165, 107.519115313
1248496.994609218, 0.00501582820807, 107.498691829
1256513.026693387, 0.00471339353461, 107.536029379
1264529.058777555, 0.00439872473115, 107.734826755
1272545.090861723, 0.00408509175074, 108.071255337
1280561.122945892, 0.00375812952059, 108.591901234
1288577.15503006, 0.00342989040366, 109.401695463
1296593.187114228, 0.00308700927778, 110.718698108
1304609.219198397, 0.00273822153743, 112.505516376
1312625.251282565, 0.00238353973304, 115.322644512
1320641.283366733, 0.00203032772413, 119.714541218
1328657.315450902, 0.00168896240513, 126.689079384
1336673.34753507, 0.00137797285674, 138.412279835
1344689.379619238, 0.00117173246584, 157.186605768
1352705.411703407, 0.00115785300173, -178.345792523
1360721.443787575, 0.00139785813822, -156.467831656
1368737.475871743, 0.00184098522176, -142.451562472
1376753.507955912, 0.00242837419126, -134.852887402
1384769.54004008, 0.00313979529177, -131.167714444
1392785.572124248, 0.00397695157805, -130.346390497
1400801.604208417, 0.00494218346292, -131.785313994
1408817.636292585, 0.00601081865614, -135.430337156
1416833.668376754, 0.00706855261434, -141.313792557
1424849.700460922, 0.00787508053705, -148.27759861
1432865.73254509, 0.00846148788838, -154.412979512
1440881.764629259, 0.00896473374914, -160.94333003
1448897.796713427, 0.00898286621809, -167.926645292
1456913.828797595, 0.00853193762249, -170.99167745
1464929.860881764, 0.0085135324734, -169.397007557
1472945.892965932, 0.0092948876101, -169.062711468
1480961.9250501, 0.010254302395, -173.19436595
1488977.957134268, 0.0108368750869, -179.039805074
1496993.989218437, 0.0112994553056, 175.533645732
1505010.021302605, 0.011810152423, 168.484216289
1513026.053386773, 0.0118904586058, 159.505324844
1521042.085470942, 0.011361439699, 150.526369305
1529058.11755511, 0.0104375771188, 142.853852147
1537074.149639279, 0.00939008868152, 136.743993199
1545090.181723447, 0.00835430938054, 132.072996743
1553106.213807615, 0.00737876456046, 128.510654635
1561122.245891783, 0.00648260186096, 125.879265776
1569138.277975952, 0.00567012432654, 124.04086825
1577154.31006012, 0.00492577762939, 122.915844675
1585170.342144289, 0.00424735567493, 122.598469358
1593186.374228457, 0.00361630318868, 123.120205841
1601202.406312625, 0.00303661341185, 124.797502944
1609218.438396794, 0.00250427929207, 127.918084979
1617234.470480962, 0.00202285096525, 133.336736415
1625250.50256513, 0.00161409667532, 142.862815841
1633266.534649299, 0.0013091715037, 158.030249718
1641282.566733467, 0.00117495382495, 179.588044076
1649298.598817635, 0.00126349398012, -158.152060254
1657314.630901804, 0.00153625483184, -141.925945525
1665330.662985972, 0.00191088039226, -132.27197541
1673346.69507014, 0.00234650562601, -126.950414236
1681362.727154308, 0.00279761571273, -124.35115495
1689378.759238477, 0.00324578100787, -123.165566468
1697394.791322645, 0.00372778054468, -122.732174558
1705410.823406814, 0.00424576160634, -123.961665975
1713426.855490982, 0.00470669814712, -127.094231872
1721442.88757515, 0.00494343466974, -130.8587471
1729458.919659319, 0.00497864835004, -132.191001642
1737474.951743487, 0.00512671093321, -130.854879443
1745490.983827655, 0.00551230357613, -130.081075575
1753507.015911824, 0.005983022959, -131.52422401
1761523.047995992, 0.00638687929378, -134.670932924
1769539.08008016, 0.00664365751153, -139.404980809
1777555.112164329, 0.00651283347443, -145.382419396
1785571.144248497, 0.00586071711266, -148.991531881
1793587.176332665, 0.00516385649176, -146.078357913
1801603.208416834, 0.00493041137586, -138.417907678
1809619.240501002, 0.00517941592108, -131.349777782
1817635.27258517, 0.00568543832828, -127.348049327
1825651.304669339, 0.00627386389342, -126.277723249
1833667.336753507, 0.00681013007781, -127.354037924
1841683.368837675, 0.00716314173607, -129.809062506
1849699.400921843, 0.00720631851806, -132.361955483
1857715.433006012, 0.0070021657349, -132.609067557
