"Current Input (4,4,2,B)"					
Node	Amp V1 [mV]	Phase V1 [°]	Amp V2 [mV]	Phase V2 [°]	
J16	160.00	1.70	176.00	-124.10	J16
J17	148.00	-0.50	55.40	106.70	J17
J18	149.00	-0.10	70.60	-89.70	J18
J19	149.00	-0.80	215.00	-52.00	J19
J20	149.00	-0.80	4.30	115.40	J20
J21	149.00	-0.60	45.10	-70.70	J21
J22	149.00	-0.10	71.00	88.00	J22
J23	149.00	-0.80	4.60	-86.20	J23
J24	149.00	-0.80	9.60	-89.80	J24
J25	149.00	-0.80	3.60	-125.50	J25
J26	149.00	-0.80	5.30	-83.10	J26
J27	153.00	-0.90	101.00	-138.80	J27
J28	153.00	-1.00	98.40	39.00	J28
J29	149.00	-0.90	1.97	-143.70	J29
J30	149.00	-0.90	17.30	-137.50	J30
J31	152.00	-1.00	94.10	40.10	J31
J32	152.00	-1.10	94.40	-142.50	J32
J33	156.00	0.30	148.00	52.00	J1
J34	161.00	0.10	175.00	-134.20	J2
J35	149.00	-0.90	3.13	57.40	J3
J36	149.00	-0.90	19.60	47.80	J4
J37	155.00	0.20	140.00	-127.10	J5
J38	159.00	-0.10	166.00	46.20	J6
J39	149.00	-0.90	15.60	-127.30	J7
J40	149.00	-0.90	26.50	-134.00	J8
J41	149.00	-0.90	4.60	50.10	J9
J42	149.00	-0.90	8.80	-110.10	J10
J43	153.00	-0.60	110.00	48.00	J11
J44	153.00	-0.80	106.00	-135.30	J12
J45	149.00	-0.90	1.47	-8.50	J13
J46	149.00	-0.90	13.00	57.50	J14
J47	154.00	-0.60	114.00	-133.20	J15
J48	153.00	-0.80	108.00	43.70	J16
J49	150.00	-0.30	67.40	75.50	J17
J50	150.00	0.00	78.60	-110.00	J18
J51	149.00	-0.90	2.40	132.10	J19
J52	149.00	-0.90	0.60	174.90	J20
J53	150.00	0.30	91.70	-104.80	J21
J54	150.00	0.10	84.60	70.60	J22
J55	149.00	-0.90	1.40	-85.00	J23
J56	149.00	-0.80	15.90	-110.90	J24
J57	149.00	-0.90	9.30	40.00	J25
J58	149.00	-0.30	65.80	-103.90	J26
J59	162.00	1.00	188.00	49.90	J27
J60	160.00	-0.40	157.00	-136.20	J28
J61	149.00	-0.90	2.20	-39.50	J29
J62	149.00	-0.40	52.00	-98.90	J30
J63	154.00	-0.50	119.00	-132.50	J31
J64	163.00	1.00	188.00	49.60	J32
J65	162.00	0.80	181.00	48.90	J1
J66	155.00	-0.40	126.00	-133.10	J2
J67	149.00	-0.80	24.80	85.70	J3
J68	149.00	-0.90	17.70	-130.30	J4
J69	162.00	1.20	187.00	-128.70	J5
J70	153.00	-0.70	108.00	45.30	J6
J71	149.00	-0.90	13.40	164.30	J7
J72	149.00	-0.90	8.70	-162.00	J8
J73	149.00	-0.90	1.96	76.30	J9
J74	149.00	-0.90	3.03	49.80	J10
J75	151.00	0.00	78.10	67.60	J11
J76	149.00	-0.50	55.10	-105.80	J12
J77	149.00	-0.90	6.30	-81.70	J13
J78	149.00	-0.90	4.10	-69.20	J14
J79	150.00	-0.20	73.40	-108.20	J15
J80	149.00	-0.50	50.40	78.90	J16
J81	153.00	-0.70	102.00	45.90	J17
J82	153.00	-0.50	107.00	-131.30	J18
J83	149.00	-0.90	3.00	-120.50	J19
J84	149.00	-0.90	15.50	-128.90	J20
J85	152.00	-0.70	96.60	-134.70	J21
J86	153.00	-0.60	101.00	47.80	J22
J87	149.00	-0.90	4.10	151.30	J23
J88	149.00	-0.90	4.30	-159.10	J24
J89	149.00	-0.80	12.00	59.30	J25
J90	149.00	-0.80	15.50	51.40	J26
J91	160.00	0.00	170.00	45.50	J27
J92	156.00	0.20	145.00	-127.90	J28
J93	149.00	-0.80	20.20	-125.80	J29
J94	149.00	-0.80	19.60	-126.30	J30
J95	158.00	-0.20	157.00	-134.00	J31
J96	155.00	0.10	136.00	53.10	J32
J97	153.00	-1.10	100.00	-142.00	J1
J98	152.00	-0.90	97.60	41.10	J2
J99	149.00	-0.90	11.90	57.80	J3
J100	149.00	-0.90	10.60	37.70	J4
J101	152.00	-1.10	98.20	37.00	J5
J102	152.00	-0.90	92.10	-139.20	J6
J103	149.00	-0.90	26.20	48.20	J7
J104	149.00	-0.80	15.00	51.30	J8
J105	149.00	-0.80	0.70	84.40	J9
J106	149.00	-0.90	4.00	105.20	J10
J107	149.00	-0.10	68.00	91.50	J11
J108	148.00	0.10	81.40	-86.30	J12
J109	149.00	-0.80	11.00	-107.50	J13
J110	149.00	-0.80	7.70	-95.70	J14
J111	149.00	-0.20	64.40	-92.50	J15
J112	149.00	-0.50	50.80	103.40	J16
J113	155.00	-0.30	121.00	-131.50	J17
J114	156.00	1.00	147.00	58.40	J18
J115	149.00	-0.30	65.60	-102.60	J19
J116	149.00	-0.80	12.40	53.20	J20
J117	157.00	0.80	149.00	55.50	J21
J118	151.00	-0.50	80.40	-126.10	J22
J119	149.00	-0.50	55.30	73.90	J23
J120	149.00	-0.90	7.00	63.40	J24
J121	168.00	6.80	269.00	57.80	J25
J122	149.00	-0.80	3.90	170.00	J26
J123	163.00	-0.40	180.00	-136.90	J27
J124	148.00	-1.60	75.20	-11.10	J28
J125	149.00	0.00	77.50	-101.70	J29
J126	149.00	-0.80	7.70	-19.70	J30
J127	165.00	0.90	202.00	47.90	J31
J128	150.00	-1.60	77.80	-164.70	J32
	-	-	-	-	
