DevNumber	X [V]	Y [V]	R [V]	Theta [°]
4253.00000000	0.00161445408444	0.00730719961534	0.00748342356206	77.5412094953
4253.00000000	0.00161443423692	0.00730723154366	0.00748345045671	77.5414106139
4253.00000000	0.00161442014572	0.00730727335144	0.00748348824009	77.5415850146
4253.00000000	0.00161440883533	0.00730730945782	0.00748352105629	77.5417292074
4253.00000000	0.00161440540998	0.00730733982932	0.00748354997370	77.5418049788
4253.00000000	0.00161441945334	0.00730737715098	0.00748358944611	77.5417616341
4253.00000000	0.00161444790414	0.00730742070982	0.00748363811695	77.5416208835
4253.00000000	0.00161447651508	0.00730745431691	0.00748367710497	77.5414625004
4253.00000000	0.00161449894686	0.00730746739781	0.00748369471714	77.5413164103
4253.00000000	0.00161451728334	0.00730746547026	0.00748369679084	77.5411761468
4253.00000000	0.00161453297395	0.00730745713349	0.00748369203547	77.5410450772
4253.00000000	0.00161454395064	0.00730744927484	0.00748368673001	77.5409500373
4253.00000000	0.00161454558677	0.00730744204661	0.00748368002498	77.5409258668
4253.00000000	0.00161453223697	0.00730743186615	0.00748366720416	77.5410088518
4253.00000000	0.00161450504483	0.00730742310333	0.00748365278129	77.5411976617
4253.00000000	0.00161447231999	0.00730742092606	0.00748364359538	77.5414387112
4253.00000000	0.00161444466155	0.00730742095915	0.00748363766088	77.5416455364
4253.00000000	0.00161442624423	0.00730741600856	0.00748362885372	77.5417750452
4253.00000000	0.00161442119794	0.00730740571761	0.00748361771646	77.5417957737
4253.00000000	0.00161443678887	0.00730739935245	0.00748361486459	77.5416687047
4253.00000000	0.00161446583332	0.00730740793077	0.00748362950671	77.5414657405
4253.00000000	0.00161448909024	0.00730741976104	0.00748364607571	77.5413114152
4253.00000000	0.00161449570168	0.00730741010956	0.00748363807784	77.5412460476
4253.00000000	0.00161449086424	0.00730737837939	0.00748360605124	77.5412298025
4253.00000000	0.00161448212267	0.00730734739579	0.00748357391139	77.5412439773
4253.00000000	0.00161447163590	0.00730733582036	0.00748356034616	77.5413032561
4253.00000000	0.00161446583270	0.00730734804054	0.00748357102662	77.5413668246
4253.00000000	0.00161446912075	0.00730737441382	0.00748359748822	77.5413858044
4253.00000000	0.00161447017910	0.00730740665658	0.00748362920005	77.5414311475
4253.00000000	0.00161445610497	0.00730744298646	0.00748366163821	77.5415963688
4253.00000000	0.00161443447704	0.00730747906225	0.00748369219876	77.5418176396
4253.00000000	0.00161442799354	0.00730750277363	0.00748371395317	77.5419052711
4253.00000000	0.00161444310735	0.00730750507065	0.00748371945656	77.5417960772
4253.00000000	0.00161446627832	0.00730749358883	0.00748371324374	77.5416038923
4253.00000000	0.00161448559266	0.00730748287773	0.00748370695159	77.5414418113
4253.00000000	0.00161450001158	0.00730747598674	0.00748370333352	77.5413226369
4253.00000000	0.00161451293297	0.00730746795519	0.00748369827871	77.5412127736
