"Current Input (4,4,2,B)"					
Node	Amp V1 [mV]	Phase V1 [°]	Amp V2 [mV]	Phase V2 [°]	
J11	149.00	-19.60	64.20	-87.30	J11
J12	147.00	-17.40	132.00	89.70	J12
J13	150.00	-20.20	3.02	-92.30	J13
J14	150.00	-20.20	27.00	115.70	J14
J15	149.00	-19.50	70.80	91.70	J15
J16	145.00	-16.70	154.00	-87.90	J16
J17	148.00	-20.10	70.10	121.10	J17
J18	148.00	-19.80	77.90	-66.70	J18
J19	150.00	-20.20	300.00	104.60	J19
J20	150.00	-20.20	3.60	121.20	J20
J21	149.00	-20.20	57.60	-57.00	J21
J22	148.00	-19.80	78.20	112.70	J22
J23	150.00	-20.20	6.40	-59.80	J23
J24	150.00	-20.20	9.40	-67.90	J24
J25	150.00	-20.20	2.40	-81.00	J25
J26	150.00	-20.20	6.30	-61.50	J26
J27	150.00	-19.60	63.30	-95.80	J27
J28	150.00	-19.60	60.10	86.00	J28
J29	150.00	-20.20	1.30	-103.00	J29
J30	150.00	-20.20	11.00	-90.20	J30
J31	150.00	-19.70	57.30	82.90	J31
J32	150.00	-19.80	55.00	-95.90	J32
J33	146.00	-18.10	126.00	95.70	J1
J34	145.00	-17.10	145.00	-87.70	J2
J35	150.00	-20.20	4.20	105.20	J3
J36	150.00	-20.20	13.60	95.80	J4
J37	147.00	-18.40	118.00	-83.80	J5
J38	146.00	-17.60	134.00	92.60	J6
J39	150.00	-20.20	12.50	-82.10	J7
J40	150.00	-20.20	17.90	-86.10	J8
J41	150.00	-20.20	2.20	91.80	J9
J42	150.00	-20.20	8.80	-69.10	J10
J43	149.00	-19.40	75.00	88.40	J11
J44	149.00	-19.50	67.70	-92.20	J12
J45	150.00	-20.20	1.20	-8.30	J13
J46	150.00	-20.20	10.40	99.40	J14
J47	149.00	-19.30	76.40	-92.10	J15
J48	149.00	-19.50	66.60	86.60	J16
J49	147.00	-19.80	81.50	111.90	J17
J50	147.00	-19.40	80.00	-75.90	J18
J51	150.00	-20.20	4.40	131.10	J19
J52	150.00	-20.20	1.40	161.80	J20
J53	146.00	-19.30	107.00	-71.40	J21
J54	147.00	-19.40	88.10	105.80	J22
J55	150.00	-20.20	1.90	-63.60	J23
J56	150.00	-20.20	15.00	-76.30	J24
J57	150.00	-20.20	4.64	81.00	J25
J58	148.00	-19.80	70.20	-73.80	J26
J59	146.00	-16.40	159.00	88.10	J27
J60	150.00	-18.40	100.00	-101.80	J28
J61	150.00	-20.20	3.10	-33.90	J29
J62	149.00	-19.90	56.60	-73.70	J30
J63	149.00	-19.10	85.40	-90.20	J31
J64	146.00	-16.40	153.00	87.60	J32
J65	147.00	-16.50	144.00	84.40	J1
J66	149.00	-18.90	90.10	-91.40	J2
J67	150.00	-20.10	28.60	112.80	J3
J68	150.00	-20.10	12.70	-84.50	J4
J69	145.00	-16.20	160.00	-90.30	J5
J70	149.00	-19.30	72.60	87.30	J6
J71	150.00	-20.10	14.60	134.40	J7
J72	150.00	-20.10	4.40	-173.00	J8
J73	150.00	-20.10	2.80	110.40	J9
J74	150.00	-20.10	1.61	77.20	J10
J75	147.00	-19.30	77.10	103.30	J11
J76	148.00	-19.80	67.10	-67.30	J12
J77	150.00	-20.10	9.40	-58.80	J13
J78	150.00	-20.10	6.90	-55.00	J14
J79	148.00	-19.50	76.10	-73.40	J15
J80	148.00	-19.80	64.80	114.00	J16
J81	149.00	-19.30	68.00	89.80	J17
J82	149.00	-19.20	74.50	-90.50	J18
J83	150.00	-20.10	3.50	-81.10	J19
J84	150.00	-20.10	10.00	-89.40	J20
J85	149.00	-19.50	61.70	-91.00	J21
J86	149.00	-19.40	68.00	88.50	J22
J87	150.00	-20.10	4.80	128.30	J23
J88	150.00	-20.10	1.90	-151.70	J24
J89	150.00	-20.00	11.70	104.40	J25
J90	150.00	-20.10	10.60	93.60	J26
J91	146.00	-17.40	137.00	92.00	J27
J92	146.00	-18.10	123.00	-84.50	J28
J93	150.00	-20.00	18.00	-79.80	J29
J94	150.00	-20.00	15.10	-83.20	J30
J95	147.00	-17.90	123.00	-87.60	J31
J96	147.00	-18.40	115.00	96.10	J32
J97	149.00	-19.50	60.20	-96.10	J1
J98	150.00	-19.40	61.40	83.60	J2
J99	150.00	-20.00	10.30	98.70	J3
J100	150.00	-20.00	5.60	76.40	J4
J101	150.00	-19.50	56.60	82.60	J5
J102	150.00	-19.60	56.80	-96.90	J6
J103	150.00	-20.00	18.40	94.50	J7
J104	150.00	-20.00	11.00	95.40	J8
J105	150.00	-20.00	2.50	136.00	J9
J106	150.00	-20.00	4.20	122.20	J10
J107	147.00	-19.70	73.90	112.70	J11
J108	146.00	-19.50	97.50	-66.00	J12
J109	150.00	-20.00	11.30	-73.20	J13
J110	150.00	-20.00	6.90	-73.70	J14
J111	148.00	-19.70	69.00	-68.40	J15
J112	148.00	-19.90	63.60	119.80	J16
J113	150.00	-19.00	73.30	-103.80	J17
J114	146.00	-17.80	126.00	92.30	J18
J115	148.00	-19.60	69.00	-74.00	J19
J116	150.00	-20.00	8.80	88.90	J20
J117	147.00	-17.80	118.00	89.80	J21
J118	149.00	-19.60	58.50	-88.80	J22
J119	149.00	-19.80	55.00	105.90	J23
J120	150.00	-20.00	6.30	98.30	J24
J121	133.00	-6.40	303.00	84.80	J25
J122	150.00	-20.00	0.85	10.00	J26
J123	150.00	-17.80	116.00	-105.10	J27
J124	149.00	-20.50	64.20	-35.90	J28
J125	147.00	-19.40	84.20	-73.20	J29
J126	150.00	-20.00	5.00	-44.40	J30
J127	147.00	-16.00	160.00	84.20	J31
J128	150.00	-20.20	38.50	-178.00	J32
	-	-	-	-	
